날짜,구글 A_Predicted,구글 A_Actual
2006-04-05,10.509397,10.161378860473633
2006-04-06,10.491103,10.240830421447754
2006-04-07,10.469273,10.115799903869627
2006-04-08,10.440913,10.115799903869627
2006-04-09,10.414478,10.115799903869627
2006-04-10,10.388245,10.37034034729004
2006-04-11,10.361616,10.20297145843506
2006-04-12,10.336641,10.18528938293457
2006-04-13,10.313157,10.016176223754885
2006-04-17,10.289178,10.13223934173584
2006-04-18,10.265108,10.067981719970703
2006-04-19,10.238959,10.223892211914062
2006-04-20,10.209312,10.33596897125244
2006-04-21,10.18064,10.886390686035156
2006-04-22,10.153199,10.886390686035156
2006-04-23,10.126876,10.886390686035156
2006-04-24,10.104161,10.97107219696045
2006-04-25,10.085027,10.63882541656494
2006-04-26,10.062221,10.609187126159668
2006-04-27,10.037024,10.4612455368042
2006-04-28,10.011759,10.40919303894043
2006-04-29,9.988288,10.40919303894043
2006-04-30,9.970637,10.40919303894043
2006-05-01,9.956015,9.934983253479004
2006-05-02,9.953451,9.83286952972412
2006-05-03,9.953309,9.817178726196287
2006-05-04,9.952076,9.831624031066896
2006-05-05,9.951791,9.820416450500488
2006-05-06,9.954684,9.820416450500488
2006-05-07,9.950866,9.820416450500488
2006-05-08,9.948395,9.83237075805664
2006-05-09,9.944183,10.181551933288574
2006-05-10,9.938856,10.036601066589355
2006-05-11,9.933109,9.63860321044922
2006-05-12,9.926716,9.318062782287598
2006-05-13,9.9163065,9.318062782287598
2006-05-14,9.903691,9.318062782287598
2006-05-15,9.892069,9.36961841583252
2006-05-16,9.886087,9.247578620910645
2006-05-17,9.883156,9.327278137207031
2006-05-18,9.874117,9.23985767364502
2006-05-19,9.867143,9.215700149536133
2006-05-20,9.86339,9.215700149536133
2006-05-21,9.860079,9.215700149536133
2006-05-22,9.856782,9.238863945007324
2006-05-23,9.852317,9.354178428649902
2006-05-24,9.845625,9.495393753051758
2006-05-25,9.8422785,9.538729667663574
2006-05-26,9.843167,9.497884750366213
2006-05-27,9.844251,9.497884750366213
2006-05-28,9.848371,9.497884750366213
2006-05-30,9.854212,9.263519287109377
2006-05-31,9.852873,9.260530471801758
2006-06-01,9.852622,9.529516220092772
2006-06-02,9.848574,9.450312614440918
2006-06-03,9.846794,9.450312614440918
2006-06-04,9.841773,9.450312614440918
2006-06-05,9.839148,9.325783729553224
2006-06-06,9.834911,9.713072776794434
2006-06-07,9.832033,9.626399040222168
2006-06-08,9.828618,9.795510292053224
2006-06-09,9.826278,9.627893447875977
2006-06-10,9.82412,9.627893447875977
2006-06-11,9.819695,9.627893447875977
2006-06-12,9.81652,9.502615928649902
2006-06-13,9.811578,9.626648902893066
2006-06-14,9.805971,9.573596954345703
2006-06-15,9.79673,9.738226890563965
2006-06-16,9.789942,9.730754852294922
2006-06-17,9.777729,9.730754852294922
2006-06-18,9.766809,9.730754852294922
2006-06-19,9.750704,9.66699504852295
2006-06-20,9.734508,9.642837524414062
2006-06-21,9.7185955,10.01542854309082
2006-06-22,9.70366,9.961134910583496
2006-06-23,9.687007,10.083422660827637
2006-06-24,9.6712055,10.083422660827637
2006-06-25,9.655647,10.083422660827637
2006-06-26,9.642504,10.06748390197754
2006-06-27,9.626056,10.020161628723145
2006-06-28,9.610009,10.114556312561035
2006-06-29,9.592909,10.40595531463623
2006-06-30,9.580875,10.443811416625977
2006-07-01,9.577517,10.443811416625977
2006-07-02,9.578805,10.443811416625977
2006-07-03,9.582376,10.540199279785156
2006-07-05,9.5855055,10.496861457824709
2006-07-06,9.581447,10.53994846343994
2006-07-07,9.579204,10.471707344055176
2006-07-08,9.581027,10.471707344055176
2006-07-09,9.581432,10.471707344055176
2006-07-10,9.580488,10.415667533874512
2006-07-11,9.582094,10.574070930480955
2006-07-12,9.588822,10.392009735107422
2006-07-13,9.594838,10.18229866027832
2006-07-14,9.599651,10.049551963806152
2006-07-15,9.606508,10.049551963806152
2006-07-16,9.612676,10.049551963806152
2006-07-17,9.620796,10.158886909484863
2006-07-18,9.629396,10.038342475891112
2006-07-19,9.633989,9.937474250793455
2006-07-20,9.642473,9.641592025756836
2006-07-21,9.6560545,9.716060638427734
2006-07-22,9.668098,9.716060638427734
2006-07-23,9.679904,9.716060638427734
2006-07-24,9.6917715,9.735735893249512
2006-07-25,9.7047825,9.697381019592283
2006-07-26,9.714782,9.60124397277832
2006-07-27,9.730149,9.52403450012207
2006-07-28,9.746089,9.666499137878418
2006-07-29,9.766799,9.666499137878418
2006-07-30,9.788209,9.666499137878418
2006-07-31,9.809698,9.628640174865724
2006-08-01,9.831765,9.352434158325195
2006-08-02,9.840238,9.146212577819824
2006-08-03,9.848015,9.349443435668944
2006-08-04,9.855033,9.311091423034668
2006-08-05,9.866599,9.311091423034668
2006-08-06,9.876215,9.311091423034668
2006-08-07,9.886012,9.413204193115234
2006-08-08,9.892123,9.48916721343994
2006-08-09,9.900173,9.388049125671388
2006-08-10,9.910578,9.319806098937988
2006-08-11,9.921103,9.17784309387207
2006-08-12,9.930554,9.17784309387207
2006-08-13,9.94394,9.17784309387207
2006-08-14,9.957415,9.201005935668944
2006-08-15,9.968703,9.48841953277588
2006-08-16,9.983539,9.656536102294922
2006-08-17,10.001855,9.608716011047363
2006-08-18,10.024655,9.547945022583008
2006-08-19,10.047422,9.547945022583008
2006-08-20,10.067838,9.547945022583008
2006-08-21,10.088529,9.397015571594238
2006-08-22,10.109485,9.421671867370604
2006-08-23,10.129447,9.30062770843506
2006-08-24,10.153454,9.308100700378418
2006-08-25,10.174037,9.296394348144531
2006-08-26,10.195688,9.296394348144531
2006-08-27,10.214973,9.296394348144531
2006-08-28,10.234271,9.487922668457031
2006-08-29,10.254067,9.4381103515625
2006-08-30,10.283357,9.48294162750244
2006-08-31,10.315616,9.42764949798584
2006-09-01,10.350916,9.42939281463623
2006-09-02,10.383818,9.42939281463623
2006-09-03,10.416725,9.42939281463623
2006-09-05,10.449585,9.572851181030272
2006-09-06,10.484736,9.467747688293455
2006-09-07,10.515053,9.426652908325195
2006-09-08,10.547147,9.410714149475098
2006-09-09,10.582467,9.410714149475098
2006-09-10,10.616784,9.410714149475098
2006-09-11,10.651129,9.566126823425291
2006-09-12,10.684486,9.760642051696776
2006-09-13,10.722922,10.126011848449709
2006-09-14,10.762634,10.061506271362305
2006-09-15,10.803407,10.208452224731444
2006-09-16,10.843625,10.208452224731444
2006-09-17,10.886508,10.208452224731444
